ParkID,Pollinators,Angiosperms all,Angiosperms Native,Angiosperms Non-native,pollinator_obs,angiosperm_obs,native_angiosperm_obs,nonnative_angiosperm_obs,lon,lat,urban_area
1268135-0013,13,53,33,20,70,156,110,46,-80.38158333,26.04871383,"Miami--Fort Lauderdale, FL"
1269250-0001,39,186,149,37,65,519,426,93,-82.3636866667,27.6717866667,"Tampa--St. Petersburg, FL"
1270600-0056,49,128,76,52,98,536,324,212,-84.320994392,30.4548741715,"Tallahassee, FL"
1270600-0063,33,96,56,40,91,321,173,148,-84.30183124,30.43128524,"Tallahassee, FL"
1270600-0089,41,116,82,34,93,257,192,65,-84.2505799,30.4483096,"Tallahassee, FL"
1270675-0015,27,55,27,28,51,97,49,48,-80.2516487986,26.2292979013,"Miami--Fort Lauderdale, FL"
1271000-0099,53,92,41,51,163,163,67,96,-82.4688774348,28.0135245854,"Tampa--St. Petersburg, FL"
1271569-0009,35,73,44,29,58,243,152,91,-80.4188858904,25.6571631282,"Miami--Fort Lauderdale, FL"
1271741-0001,55,124,105,19,105,379,346,33,-80.41068087,25.64891733,"Miami--Fort Lauderdale, FL"
1273172-0004,23,127,103,24,56,334,276,58,-81.1960694791,28.5975936563,"Orlando, FL"
1273900-0021,30,177,154,23,67,693,640,53,-82.4191818237,27.1146965027,"Bradenton--Sarasota--Venice, FL"
1275812-0036,31,66,43,23,107,321,226,95,-80.2338838577,26.6327046858,"Miami--Fort Lauderdale, FL"
1278110-0005,38,137,110,27,72,586,485,101,-80.4580994628,27.8802194877,"Palm Bay--Melbourne, FL"
13510-0013,36,132,108,24,174,1509,1441,68,-81.8259570469,26.5715766046,"Cape Coral, FL"
13510-0026,37,150,98,52,114,437,304,133,-81.8771287334,26.5261824383,"Cape Coral, FL"
13510-0029,37,114,99,15,193,1077,1007,70,-82.0846468819,26.4289868344,"Cape Coral, FL"
13510-0032,35,453,400,53,63,2308,2186,122,-81.83761088,26.44229088,"Bonita Springs--Estero, FL"
32167-0019,49,77,58,19,131,315,264,51,-82.304505,29.6093166667,"Gainesville, FL"
44789-1203,69,108,80,28,458,550,471,79,-80.4095388889,25.126694444400002,"Key Largo, FL"
44857-1207,67,118,90,28,729,1035,815,220,-81.8104737,24.5467548,"Key West, FL"
48799-0007,58,85,72,13,248,167,141,26,-81.8748164177,28.7341166769,"Leesburg--Eustis--Tavares, FL"
56602-0030,55,115,85,30,530,1704,1590,114,-80.1622873173,26.4852134558,"Miami--Fort Lauderdale, FL"
56602-0032,63,181,106,75,404,596,391,205,-80.2380306129,26.3730085049,"Miami--Fort Lauderdale, FL"
56602-0053,81,233,158,75,400,1225,794,431,-80.1653900146,26.644071579,"Miami--Fort Lauderdale, FL"
56602-0084,40,205,163,42,74,757,661,96,-80.2491833333,26.7309883333,"Miami--Fort Lauderdale, FL"
56602-0126,46,173,116,57,180,1110,766,344,-80.132822,25.909392,"Miami--Fort Lauderdale, FL"
56602-0156,18,68,45,23,50,421,288,133,-80.162575,25.7325666667,"Miami--Fort Lauderdale, FL"
56602-0180,113,261,188,73,770,2354,1979,375,-80.4028633333,25.6030366667,"Miami--Fort Lauderdale, FL"
56602-0183,93,268,208,60,523,2171,1891,280,-80.4062913538,25.6004218839,"Miami--Fort Lauderdale, FL"
56602-0212,31,270,170,100,97,1628,917,711,-80.1419916667,26.665245,"Miami--Fort Lauderdale, FL"
65863-0028,38,65,37,28,140,136,75,61,-81.2723916667,28.7106133333,"Orlando, FL"
65863-0029,79,109,69,40,205,247,169,78,-81.4256216667,28.6433116667,"Orlando, FL"
67134-0001,44,137,98,39,266,504,409,95,-81.2082934287,29.6263390035,"Daytona Beach--Palm Coast--Port Orange, FL"
68482-0080,29,98,79,19,60,392,329,63,-87.3917435803,30.3838030264,"Pensacola, FL--AL"
71479-0073,33,85,42,43,69,241,126,115,-80.2128372192,27.2283706665,"Port St. Lucie, FL"
71479-0101,30,346,283,63,54,1575,1410,165,-80.2423951776,27.2562679556,"Port St. Lucie, FL"
71479-0103,54,230,190,40,102,1277,1188,89,-80.1611471667,27.1259945,"Port St. Lucie, FL"
79606-0019,62,104,68,36,300,189,120,69,-82.4394778884,27.2671156269,"Bradenton--Sarasota--Venice, FL"
79606-0042,105,219,136,83,828,1160,634,526,-82.437225,27.3189616667,"Bradenton--Sarasota--Venice, FL"
79606-0069,134,430,358,72,754,3171,2877,294,-82.4629926682,27.1740257347,"Bradenton--Sarasota--Venice, FL"
79606-0083,39,106,84,22,59,231,179,52,-82.4727174809,27.2489704465,"Bradenton--Sarasota--Venice, FL"
79606-0095,33,139,110,29,86,410,334,76,-82.3744666667,26.97308,"Bradenton--Sarasota--Venice, FL"
79606-0180,44,160,120,40,118,617,447,170,-82.5394248962,27.5537859553,"Bradenton--Sarasota--Venice, FL"
79606-0207,21,86,72,14,75,161,133,28,-82.3350042757,26.9253331516,"Bradenton--Sarasota--Venice, FL"
86464-0009,47,150,109,41,87,443,337,106,-84.313745,30.50072,"Tallahassee, FL"
86599-0063,49,126,78,48,287,267,195,72,-82.8086853027,27.8836364746,"Tampa--St. Petersburg, FL"
86599-0064,22,57,32,25,52,89,51,38,-82.8094328195,27.8828606396,"Tampa--St. Petersburg, FL"
86599-0081,73,131,83,48,416,978,640,338,-82.6677166667,27.8396083333,"Tampa--St. Petersburg, FL"
86599-0109,23,65,50,15,80,97,76,21,-82.7486416667,28.1624805,"Tampa--St. Petersburg, FL"
86599-0149,23,111,74,37,54,233,162,71,-82.8141591,27.87482972,"Tampa--St. Petersburg, FL"
86599-0150,112,173,113,60,397,602,389,213,-82.765956223,27.9332169812,"Tampa--St. Petersburg, FL"
